"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-25T15:17:00.000Z","5.04","5.06","5.04","5.04","","0.0029","217,242"
"2025-07-25T15:18:00.000Z","5.05","5.05","5.04","5.04","","0.0029","14,050"
"2025-07-25T15:19:00.000Z","5.04","5.05","5.04","5.05","0.0971","0.1000","18,327"
"2025-07-25T15:20:00.000Z","5.05","5.05","5.04","5.04","-0.0970","-0.0941","31,346"
"2025-07-25T15:21:00.000Z","5.04","5.04","5.03","5.04","-0.1011","-0.0982","69,640"
"2025-07-25T15:22:00.000Z","5.03","5.03","5.02","5.03","-0.1964","-0.1935","132,071"
"2025-07-25T15:23:00.000Z","5.03","5.03","5.02","5.03","","0.0029","99,925"
"2025-07-25T15:24:00.000Z","5.03","5.04","5.02","5.04","0.1988","0.2017","119,845"
"2025-07-25T15:25:00.000Z","5.04","5.04","5.03","5.04","-0.0615","-0.0586","54,017"
"2025-07-25T15:26:00.000Z","5.04","5.05","5.03","5.04","0.0556","0.0585","77,051"
"2025-07-25T15:27:00.000Z","5.04","5.04","5.03","5.04","-0.0933","-0.0903","119,255"
"2025-07-25T15:28:00.000Z","5.03","5.04","5.03","5.04","","0.0029","85,258"
"2025-07-25T15:29:00.000Z","5.04","5.04","5.03","5.04","","0.0029","8,391"
"2025-07-25T15:30:00.000Z","5.04","5.04","5.03","5.03","-0.0973","-0.0944","10,694"
"2025-07-25T15:31:00.000Z","5.04","5.04","5.02","5.02","-0.1531","-0.1502","51,788"
"2025-07-25T15:32:00.000Z","5.03","5.04","5.02","5.04","0.2509","0.2538","189,796"
"2025-07-25T15:33:00.000Z","5.04","5.04","5.03","5.04","0.0993","0.1022","35,791"
"2025-07-25T15:34:00.000Z","5.04","5.05","5.03","5.04","-0.0992","-0.0963","127,142"
"2025-07-25T15:35:00.000Z","5.03","5.03","5.02","5.03","-0.1033","-0.1004","127,601"
"2025-07-25T15:36:00.000Z","5.03","5.03","5.01","5.02","-0.1948","-0.1919","129,243"
"2025-07-25T15:37:00.000Z","5.02","5.02","5.01","5.01","-0.0996","-0.0967","85,766"
"2025-07-25T15:38:00.000Z","5.02","5.03","5.01","5.02","0.0997","0.1026","130,403"
"2025-07-25T15:39:00.000Z","5.02","5.03","5.01","5.02","0.0976","0.1005","123,351"
"2025-07-25T15:40:00.000Z","5.02","5.03","5.02","5.03","0.1572","0.1601","72,123"
"2025-07-25T15:41:00.000Z","5.04","5.04","5.02","5.03","-0.1550","-0.1521","74,693"
"2025-07-25T15:42:00.000Z","5.02","5.03","5.02","5.02","-0.0975","-0.0946","31,818"
"2025-07-25T15:43:00.000Z","5.03","5.03","5.01","5.01","-0.1016","-0.0987","48,703"
"2025-07-25T15:44:00.000Z","5.02","5.02","5.01","5.01","","0.0029","26,248"
"2025-07-25T15:45:00.000Z","5.01","5.04","5.01","5.04","0.4247","0.4276","75,085"
"2025-07-25T15:46:00.000Z","5.04","5.05","5.03","5.05","0.2700","0.2730","78,778"
"2025-07-25T15:47:00.000Z","5.04","5.06","5.04","5.06","0.2000","0.2029","122,157"
"2025-07-25T15:48:00.000Z","5.05","5.06","5.05","5.05","-0.1779","-0.1749","61,729"
"2025-07-25T15:49:00.000Z","5.05","5.05","5.04","5.04","-0.1188","-0.1159","92,865"
"2025-07-25T15:50:00.000Z","5.04","5.06","5.04","5.05","0.1982","0.2011","72,675"
"2025-07-25T15:51:00.000Z","5.06","5.07","5.05","5.07","0.1978","0.2007","38,572"
"2025-07-25T15:52:00.000Z","5.07","5.08","5.06","5.08","0.1974","0.2004","97,807"
"2025-07-25T15:53:00.000Z","5.08","5.08","5.07","5.07","-0.1970","-0.1941","68,092"
"2025-07-25T15:54:00.000Z","5.07","5.07","5.06","5.07","","0.0029","54,030"
"2025-07-25T15:55:00.000Z","5.07","5.08","5.07","5.08","0.1974","0.2004","94,023"
"2025-07-25T15:56:00.000Z","5.08","5.08","5.07","5.07","-0.0571","-0.0542","48,947"
"2025-07-25T15:57:00.000Z","5.08","5.08","5.07","5.07","-0.1400","-0.1371","33,478"
"2025-07-25T15:58:00.000Z","5.07","5.07","5.05","5.05","-0.1974","-0.1945","72,659"
"2025-07-25T15:59:00.000Z","5.05","5.06","5.05","5.06","0.0989","0.1018","12,999"
"2025-07-25T16:00:00.000Z","5.06","5.06","5.05","5.05","-0.0988","-0.0959","43,867"
"2025-07-25T16:01:00.000Z","5.06","5.06","5.05","5.05","","0.0029","33,520"
"2025-07-25T16:02:00.000Z","5.05","5.08","5.05","5.07","0.2967","0.2997","206,183"
